basin,key,overlap_area_mi2
BND,41.031250_-121.406250,14.085454244953041
BND,41.031250_-121.468750,14.085454244960653
BND,41.031250_-121.531250,14.085454244961165
BND,41.031250_-121.593750,14.085454244952977
BND,41.031250_-121.656250,14.085454244959822
BND,41.031250_-121.718750,14.085454244960337
BND,41.031250_-121.781250,14.085454244954839
BND,41.031250_-121.843750,14.085454244960601
BND,41.031250_-121.906250,14.085454244958818
BND,41.031250_-121.968750,14.085454244952293
BND,41.031250_-122.031250,14.08545424495862
BND,41.031250_-122.093750,14.085454244958708
BND,41.031250_-122.156250,14.085454244953
BND,41.031250_-122.218750,14.085454244959692
BND,41.031250_-122.281250,14.08545424495953
BND,41.031250_-122.343750,14.085454244953029
BND,41.031250_-122.406250,14.08545424495914
BND,41.031250_-122.468750,14.085454244959962
BND,41.031250_-122.531250,6.629595652524202
BND,41.093750_-120.218750,12.24223388039992
BND,41.093750_-120.281250,14.072278863564488
BND,41.093750_-120.343750,14.072278863560193
BND,41.093750_-120.406250,13.638924342210265
BND,41.093750_-120.468750,7.491408042603163
BND,41.093750_-120.531250,9.350111824920308
BND,41.093750_-120.593750,13.332850749683857
BND,41.093750_-120.656250,14.072278863565247
BND,41.093750_-120.718750,14.072278863561102
BND,41.093750_-120.781250,14.072278863568641
BND,41.093750_-120.843750,14.072278863567256
BND,41.093750_-120.906250,14.072278863561868
BND,41.093750_-120.968750,14.072278863567703
BND,41.093750_-121.031250,14.07227886356708
BND,41.093750_-121.093750,14.072278863560259
BND,41.093750_-121.156250,14.072278863565398
BND,41.093750_-121.218750,14.072278863560815
BND,41.093750_-121.281250,14.072278863567304
BND,41.093750_-121.343750,14.072278863567213
BND,41.093750_-121.406250,14.072278863560648
BND,41.093750_-121.468750,14.072278863564804
BND,41.093750_-121.531250,14.072278863563755
BND,41.093750_-121.593750,14.072278863559891
BND,41.093750_-121.656250,14.072278863566222
BND,41.093750_-121.718750,14.072278863566373
BND,41.093750_-121.781250,14.07227886356051
BND,41.093750_-121.843750,14.072278863565032
BND,41.093750_-121.906250,14.07227886356599
BND,41.093750_-121.968750,14.07227886356024
BND,41.093750_-122.031250,14.072278863564698
BND,41.093750_-122.093750,14.072278863564883
BND,41.093750_-122.156250,14.072278863560268
BND,41.093750_-122.218750,14.072278863566304
BND,41.093750_-122.281250,14.072278863566524
BND,41.093750_-122.343750,14.072278863561488
BND,41.093750_-122.406250,14.072278863567266
BND,41.093750_-122.468750,8.49739044403285
BND,41.093750_-122.531250,2.708204206510569
BND,41.156250_-120.156250,7.163658144262572
BND,41.156250_-120.218750,14.059086414429423
BND,41.156250_-120.281250,14.059086414429245
BND,41.156250_-120.343750,14.059086414423158
BND,41.156250_-120.406250,14.059086414428354
BND,41.156250_-120.468750,14.059086414427721
BND,41.156250_-120.531250,14.05908641442156
BND,41.156250_-120.593750,14.059086414427531
BND,41.156250_-120.656250,14.05908641442911
BND,41.156250_-120.718750,14.0590864144224
BND,41.156250_-120.781250,14.059086414427401
BND,41.156250_-120.843750,14.059086414429142
BND,41.156250_-120.906250,14.059086414422275
BND,41.156250_-120.968750,14.059086414427519
BND,41.156250_-121.031250,14.059086414427393
BND,41.156250_-121.093750,14.05908641442102
BND,41.156250_-121.156250,14.059086414427684
BND,41.156250_-121.218750,14.05908641442272
BND,41.156250_-121.281250,14.059086414427979
BND,41.156250_-121.343750,14.059086414427629
BND,41.156250_-121.406250,14.059086414421843
BND,41.156250_-121.468750,14.059086414428688
BND,41.156250_-121.531250,14.059086414429492
BND,41.156250_-121.593750,14.059086414421898
BND,41.156250_-121.656250,14.059086414428359
BND,41.156250_-121.718750,14.059086414429633
BND,41.156250_-121.781250,14.059086414423003
BND,41.156250_-121.843750,14.059086414428963
BND,41.156250_-121.906250,14.059086414428416
BND,41.156250_-121.968750,14.059086414424243
BND,41.156250_-122.031250,14.059086414431214
BND,41.156250_-122.093750,14.059086414429395
BND,41.156250_-122.156250,14.059086414421923
BND,41.156250_-122.218750,14.059086414428037
BND,41.156250_-122.281250,14.05908641443042
BND,41.156250_-122.343750,14.05908641442384
BND,41.156250_-122.406250,14.05908641442822
BND,41.156250_-122.468750,5.173592746359465
BND,41.218750_-120.156250,9.58981920933689
BND,41.218750_-120.218750,14.045876911586806
BND,41.218750_-120.281250,14.0458769115867
BND,41.218750_-120.343750,14.045876911580718
BND,41.218750_-120.406250,14.04587691158791
BND,41.218750_-120.468750,14.045876911587397
BND,41.218750_-120.531250,14.045876911580459
BND,41.218750_-120.593750,14.045876911586621
BND,41.218750_-120.656250,14.045876911587479
BND,41.218750_-120.718750,14.045876911581916
BND,41.218750_-120.781250,14.04587691158723
BND,41.218750_-120.843750,14.045876911585442
BND,41.218750_-120.906250,14.045876911580844
BND,41.218750_-120.968750,14.045876911588325
BND,41.218750_-121.031250,14.04587691158864
BND,41.218750_-121.093750,14.045876911583626
BND,41.218750_-121.156250,14.045876911587962
BND,41.218750_-121.218750,14.045876911580738
BND,41.218750_-121.281250,14.045876911586578
