entity_id,family,timescale,site_id,name,delineation,arcs,area_mi2,area_mi2_swat,outlet_lat,outlet_lon,outlet_source,record_start,train_start,train_end,n_obs,obs_store,flags
usgs_11427700,usgs_daily,daily,11427700,DUNCAN CYN C NR FRENCH MEADOWS CA,usgs_gpkg,,9.9,,39.1357376,-120.4785353,usgs_gauges:11427700,1961-07-31,1961-07-31,2014-12-31,19009,usgs/flow_daily.nc:flow_mm,
usgs_11433260,usgs_daily,daily,11433260,NF OF MF AMERICAN R NR FORESTHILL CA,usgs_gpkg,,88.64,,39.0240671,-120.7185401,usgs_gauges:11433260,1965-08-01,1965-08-01,1985-09-29,7365,usgs/flow_daily.nc:flow_mm,
usgs_11433300,usgs_daily,daily,11433300,MF AMERICAN R NR FORESTHILL CA,usgs_gpkg,,520.56,,39.0060108,-120.7607633,usgs_gauges:11433300,1958-10-01,1958-10-01,1966-12-31,3014,usgs/flow_daily.nc:flow_mm,
usgs_11433500,usgs_daily,daily,11433500,MF AMERICAN R NR AUBURN CA,usgs_gpkg,,614.28,,38.917954,-121.0152215,usgs_gauges:11433500,1950-01-01,1950-01-01,1964-12-31,5203,usgs/flow_daily.nc:flow_mm,
usgs_11445500,usgs_daily,daily,11445500,SF AMERICAN R NR LOTUS CA,usgs_gpkg,,673.19,,38.81851188,-120.946885,usgs_gauges:11445500,1951-10-01,1951-10-01,1959-12-31,3014,usgs/flow_daily.nc:flow_mm,
usgs_11449500,usgs_daily,daily,11449500,KELSEY C NR KELSEYVILLE CA,usgs_gpkg,,36.69,,38.9273642,-122.8435719,usgs_gauges:11449500,1950-01-01,1950-01-01,2014-12-31,23379,usgs/flow_daily.nc:flow_mm,
usgs_11451100,usgs_daily,daily,11451100,NF CACHE C A HOUGH SPRING NR CLEARLAKE OAKS CA,usgs_gpkg,,59.92,,39.1654458,-122.6199862,usgs_gauges:11451100,1971-10-01,1971-10-01,2015-12-31,15653,usgs/flow_daily.nc:flow_mm,
usgs_11451715,usgs_daily,daily,11451715,BEAR C AB HOLSTEN CHIMNEY CYN NR RUMSEY CA,usgs_gpkg,,95.6,,38.95764605,-122.342726,usgs_gauges:11451715,1997-11-21,1997-11-21,2014-12-31,6051,usgs/flow_daily.nc:flow_mm,
usgs_11523200,usgs_daily,daily,11523200,TRINITY R AB COFFEE C NR TRINITY CENTER CA,usgs_gpkg,,148.0,,41.11122108,-122.7055474,usgs_gauges:11523200,1957-10-01,1957-10-01,2014-12-31,20747,usgs/flow_daily.nc:flow_mm,
usgs_11525500,usgs_daily,daily,11525500,TRINITY R A LEWISTON CA,usgs_gpkg,,718.96,,40.7247222,-122.801111,usgs_gauges:11525500,1950-01-01,1950-01-01,1960-12-31,4018,usgs/flow_daily.nc:flow_mm,
cdec_BND,cdec_daily,daily,BND,CDEC SBB full natural flow,arcs,I_BCN010;I_BTL006;I_CLR011;I_COW014;I_CWD018;I_SCW008;I_SHSTA;I_SRBB_VAL;I_WKYTN,8900.0,,40.289,-122.186,cdec_stations:SBB,1999-05-01,1999-10-01,2018-12-31,7029,cdec15/gage.csv:flow,footprint_includes_valley_node;outlet_below_delineation
cdec_CLE,cdec_daily,daily,CLE,TRINITY LAKE,arcs,I_TRNTY,692.86,,40.801,-122.762,cdec_stations:CLE,1986-04-01,1986-04-01,2018-12-31,11310,cdec_fnf/fnf_daily_mm.csv:depth_mm,fnf_computed_at_trinity_dam
cdec_CSN,cdec_daily,daily,CSN,COSUMNES R AT MICHIGAN BAR,arcs,I_CMP001;I_CMP014;I_CSM035;I_JNKSN,539.11,,38.5,-121.044,cdec_stations:CSN,1999-04-01,1999-04-01,2018-12-31,7211,cdec_fnf/fnf_daily_mm.csv:depth_mm,daily_runs_6pct_below_monthly
cdec_FOL,cdec_daily,daily,FOL,CDEC AMF full natural flow,arcs,I_ALD002;I_ALD004;I_ALOHA;I_BSH003;I_CAPLS;I_CYN009;I_DCC010;I_ECHOL;I_FOLSM;I_FRMDW;I_GERLE;I_HHOLE;I_ICEHS;I_LKVLY;I_LNG012;I_LOONL;I_LRB004;I_MFA001;I_MFA023;I_MFA025;I_MFA036;I_NFA016;I_NFA022;I_NFA054;I_NLC003;I_NMA003;I_NNA013;I_PLC007;I_PLM001;I_PYR001;I_RCK001;I_RUB002;I_RUB047;I_SFA030;I_SFA040;I_SFA066;I_SFA076;I_SFR006;I_SILVR;I_SLC003;I_SLF009;I_SLV006;I_SLV015;I_STMPY;I_UNVLY;I_WBR001,1885.0,,38.636016,-121.221893,cdec_stations:AMF,1987-06-29,1987-10-02,2018-12-31,10335,cdec15/gage.csv:flow,outlet_below_delineation
