entity_id,key,lat,lon,overlap_mi2
uf_03,39.28125_-122.84375,39.28125,-122.84375,0.703444
uf_03,39.28125_-122.90625,39.28125,-122.90625,7.449359
uf_03,39.28125_-122.96875,39.28125,-122.96875,13.561299
uf_03,39.28125_-123.03125,39.28125,-123.03125,3.04787
uf_03,39.34375_-122.96875,39.34375,-122.96875,0.040061
uf_03,39.34375_-123.03125,39.34375,-123.03125,0.421896
uf_04,39.21875_-122.40625,39.21875,-122.40625,2.531793
uf_04,39.21875_-122.46875,39.21875,-122.46875,6.262185
uf_04,39.21875_-122.53125,39.21875,-122.53125,2.694449
uf_04,39.21875_-122.59375,39.21875,-122.59375,5.209164
uf_04,39.21875_-122.65625,39.21875,-122.65625,6.468068
uf_04,39.21875_-122.71875,39.21875,-122.71875,0.123563
uf_04,39.28125_-122.40625,39.28125,-122.40625,0.430727
uf_04,39.28125_-122.46875,39.28125,-122.46875,12.479956
uf_04,39.28125_-122.53125,39.28125,-122.53125,14.335697
uf_04,39.28125_-122.59375,39.28125,-122.59375,14.24817
uf_04,39.28125_-122.65625,39.28125,-122.65625,14.47318
uf_04,39.28125_-122.71875,39.28125,-122.71875,11.332971
uf_04,39.28125_-122.78125,39.28125,-122.78125,1.481469
uf_04,39.34375_-122.46875,39.34375,-122.46875,10.444994
uf_04,39.34375_-122.53125,39.34375,-122.53125,14.430295
uf_04,39.34375_-122.59375,39.34375,-122.59375,14.433085
uf_04,39.34375_-122.65625,39.34375,-122.65625,14.434687
uf_04,39.34375_-122.71875,39.34375,-122.71875,14.050379
uf_04,39.34375_-122.78125,39.34375,-122.78125,2.390395
uf_04,39.40625_-122.46875,39.40625,-122.46875,9.66015
uf_04,39.40625_-122.53125,39.40625,-122.53125,14.421978
uf_04,39.40625_-122.59375,39.40625,-122.59375,14.421978
uf_04,39.40625_-122.65625,39.40625,-122.65625,14.421978
uf_04,39.40625_-122.71875,39.40625,-122.71875,14.277322
uf_04,39.40625_-122.78125,39.40625,-122.78125,10.282761
uf_04,39.46875_-122.46875,39.46875,-122.46875,5.730053
uf_04,39.46875_-122.53125,39.46875,-122.53125,14.409251
uf_04,39.46875_-122.59375,39.46875,-122.59375,14.409251
uf_04,39.46875_-122.65625,39.46875,-122.65625,14.409251
uf_04,39.46875_-122.71875,39.46875,-122.71875,11.551516
uf_04,39.46875_-122.78125,39.46875,-122.78125,0.113359
uf_04,39.53125_-122.46875,39.53125,-122.46875,1.265473
uf_04,39.53125_-122.53125,39.53125,-122.53125,14.363617
uf_04,39.53125_-122.59375,39.53125,-122.59375,14.396507
uf_04,39.53125_-122.65625,39.53125,-122.65625,12.789897
uf_04,39.53125_-122.71875,39.53125,-122.71875,2.890362
uf_04,39.59375_-122.46875,39.59375,-122.46875,0.123864
uf_04,39.59375_-122.53125,39.59375,-122.53125,13.162773
uf_04,39.59375_-122.59375,39.59375,-122.59375,14.387713
uf_04,39.59375_-122.65625,39.59375,-122.65625,14.383765
uf_04,39.59375_-122.71875,39.59375,-122.71875,6.944914
uf_04,39.59375_-122.78125,39.59375,-122.78125,0.066494
uf_04,39.65625_-122.46875,39.65625,-122.46875,7.501243
uf_04,39.65625_-122.53125,39.65625,-122.53125,14.370966
uf_04,39.65625_-122.59375,39.65625,-122.59375,14.370966
uf_04,39.65625_-122.65625,39.65625,-122.65625,14.370966
uf_04,39.65625_-122.71875,39.65625,-122.71875,14.370966
uf_04,39.65625_-122.78125,39.65625,-122.78125,9.676616
uf_04,39.71875_-122.34375,39.71875,-122.34375,0.414048
uf_04,39.71875_-122.40625,39.71875,-122.40625,6.099495
uf_04,39.71875_-122.46875,39.71875,-122.46875,13.655486
uf_04,39.71875_-122.53125,39.71875,-122.53125,14.35817
uf_04,39.71875_-122.59375,39.71875,-122.59375,14.35817
uf_04,39.71875_-122.65625,39.71875,-122.65625,14.35817
uf_04,39.71875_-122.71875,39.71875,-122.71875,14.35817
uf_04,39.71875_-122.78125,39.71875,-122.78125,13.156426
uf_04,39.71875_-122.84375,39.71875,-122.84375,3.668204
uf_04,39.71875_-122.90625,39.71875,-122.90625,0.098094
uf_04,39.78125_-122.34375,39.78125,-122.34375,7.332817
uf_04,39.78125_-122.40625,39.78125,-122.40625,14.345356
uf_04,39.78125_-122.46875,39.78125,-122.46875,14.345356
uf_04,39.78125_-122.53125,39.78125,-122.53125,14.345356
uf_04,39.78125_-122.59375,39.78125,-122.59375,14.345356
uf_04,39.78125_-122.65625,39.78125,-122.65625,13.685265
uf_04,39.78125_-122.71875,39.78125,-122.71875,13.756019
uf_04,39.78125_-122.78125,39.78125,-122.78125,14.345356
uf_04,39.78125_-122.84375,39.78125,-122.84375,14.345356
uf_04,39.78125_-122.90625,39.78125,-122.90625,10.175465
uf_04,39.78125_-122.96875,39.78125,-122.96875,0.287831
