arc,node,source,n_months,kge,nse,pbias,r
I_SLTSP,SLTSP,vic,1167,0.6843475112171716,0.6093329796674314,7.786051450471041,0.879782727829377
I_SLUIS,SLUIS,vic,1167,-1.2840866136509597,-0.9280622422319054,216.25909482569276,0.6709663246202638
I_SLV006,SLV006,vic,1167,0.6173469119443279,0.2388642758964854,-4.358277670436116,0.7273159917206795
I_SLV015,SLV015,vic,1167,0.6696477754452425,0.37794497669027327,-4.106285039866181,0.7706003440651478
I_SLYCK,SLYCK,vic,1167,0.7414429818981519,0.6780145536593873,-19.65252027038523,0.8752965940467574
I_SPICE,SPICE,vic,1167,0.7048028426146149,0.5597776111622828,3.8696771444643145,0.8495157456512475
I_SPLDG,SPLDG,vic,1167,0.791519830686672,0.6748919828755651,-13.664453777942205,0.8426556077899832
I_STMPY,STMPY,vic,1167,0.7400144212636309,0.5260618655962918,3.747939207862866,0.8117571492084988
I_STS059,STS059,vic,1167,0.31918430451745816,0.47898769391846696,-45.37836791802706,0.752081531422659
I_STS072,STS072,vic,1167,0.4235177768963402,0.5264144539190156,40.09749853202075,0.9072328047892388
I_TGC003,TGC003,vic,1167,0.4327453608806876,-0.2592590277120783,17.391483535504936,0.5706513331050883
I_THM028,THM028,vic,1167,0.8919914178883653,0.804665750850561,0.847193500707299,0.9092962731841268
I_TRNTY,TRNTY,vic,1167,0.572577212257747,0.3714963255782351,14.977653055899056,0.8233755156511179
I_TULOC,TULOC,vic,1167,0.7016709649140458,0.6706043464416755,-16.364611855326313,0.822764098254632
I_TUO054,TUO054,vic,1167,0.21425609313317107,0.4095440619633839,-41.941670337162066,0.7788235075153557
I_UBEAR,UBEAR,vic,1167,0.8268166171873039,0.7277194334303112,-8.580236510161107,0.8811935253900605
I_UNVLY,UNVLY,vic,1167,0.7472264544146743,0.6715477679856776,-17.75045744832164,0.835720844280291
I_WBF006,WBF006,vic,1167,0.6889582882972716,0.47994230034159635,-7.619651114538781,0.8149099740245299
I_WBF015,WBF015,vic,1167,0.5797893728078091,0.4860609406856229,9.031396470155398,0.8724210178193053
I_WBF030,WBF030,vic,1167,0.6241473620383952,0.6301260715014361,14.695967989533138,0.9102651111151484
I_WBR001,WBR001,vic,1167,0.7123577771136558,0.6815811678287524,23.25720695309434,0.8670135473123941
I_WKYTN,WKYTN,vic,1167,0.7885386884409997,0.7567746178599686,-0.6452770793059034,0.9136644149295895
I_WLF013,WLF013,vic,1167,0.3943800372172669,0.600706510366509,38.93386389507763,0.9581155332817974
