period,window,set,basin,source,ref_kind,n_months,kge,nse,pbias,r,mean_sim_taf,mean_calsim3_taf,seas_mismatch,ct_sim_mo,ct_ref_mo,dct_mo
post1950,WY1950–2019,15cdec,NML,vic,unimp,831,0.7343173130873811,0.8489942550789963,15.851906016716823,0.9626475442931453,112.32003038427275,96.9513875482252,0.04050355733895308,6.851031413789123,6.806326142034866,0.04470527175425687
post1950,WY1950–2019,15cdec,ORO,15cdec,unimp,831,0.8355795031099367,0.8434070014453204,-1.0742158499437306,0.9424035098403235,374.55324642918805,378.62044728505197,0.12642757035977,5.677458885052702,6.11279501436434,-0.43533612931163823
post1950,WY1950–2019,15cdec,ORO,vic,unimp,831,0.7194751118209803,0.8166008043455348,12.649650452831125,0.9564921172424422,426.5146104095568,378.62044728505197,0.08672449103480184,5.745597944508982,6.11279501436434,-0.36719706985535794
post1950,WY1950–2019,15cdec,SHA,15cdec,unimp,831,0.7378134905797236,0.8549162739534893,-19.134502376390937,0.9750049767992885,397.5613756939399,491.63288099011214,0.1291182157143302,5.680747520159285,5.913674879147998,-0.23292735898871353
post1950,WY1950–2019,15cdec,SHA,vic,unimp,831,0.7503827161303915,0.8680164850181131,6.125377850025195,0.9723541825086432,521.7472525857212,491.63288099011214,0.04701322658152182,5.80487847006036,5.913674879147998,-0.10879640908763832
post1950,WY1950–2019,15cdec,TLG,15cdec,unimp,831,0.9608147852143585,0.937531487001014,-1.3702777474566248,0.969675710498251,157.39910389607937,159.5858736102448,0.028159967217716395,6.981625138924205,6.990200099503723,-0.008574960579518454
post1950,WY1950–2019,15cdec,TLG,vic,unimp,831,0.8468350261409214,0.8695795014960619,-2.144406451034804,0.9521948365568527,156.16370384160646,159.5858736102448,0.06616667794108658,6.853273964295942,6.990200099503723,-0.13692613520778085
post1950,WY1950–2019,15cdec,YRS,15cdec,unimp,831,0.8171947775544117,0.8616808397959048,14.159000093452168,0.9488968421124057,224.0687452770646,196.27777493989856,0.0828401188350583,5.809770798570876,6.094615471555284,-0.2848446729844074
post1950,WY1950–2019,15cdec,YRS,vic,unimp,831,0.771718270021283,0.8545537109583814,9.034215778649438,0.9597297637191776,214.0099326535009,196.27777493989856,0.09427368366851636,5.712551584573628,6.094615471555284,-0.3820638869816557
post1950,WY1950–2019,9unimp,BearRiver,9unimp,inflow_sum,831,0.8835197810550443,0.96452879402826,-11.55822344901009,0.9855697548814956,26.60229665356931,30.078880921429835,0.07218396080271111,5.084509047714676,5.318812137578078,-0.23430308986340176
post1950,WY1950–2019,9unimp,BearRiver,vic,inflow_sum,831,0.7743795553266519,0.9013810633306971,4.814398271757304,0.9797884670712533,31.526998044675093,30.078880921429835,0.0934626822096426,5.069496088501234,5.318812137578078,-0.24931604907684424
post1950,WY1950–2019,9unimp,CacheCreek,9unimp,inflow_sum,831,0.9202773884532732,0.8489475193964969,2.4022265738350743,0.9241740061722463,56.89413987583134,55.55947539364192,0.10052093395552558,5.2169541323030515,5.070945153367669,0.14600897893538267
post1950,WY1950–2019,9unimp,CacheCreek,vic,inflow_sum,831,0.7274294062449411,0.786916367208567,13.5132933509848,0.9368710849947279,63.067390287852966,55.55947539364192,0.06015269634208569,4.950190746252582,5.070945153367669,-0.12075440711508723
post1950,WY1950–2019,9unimp,CalaverasRiver,9unimp,inflow_sum,831,0.9070512432595184,0.9352646972078802,5.164252005870285,0.9725458671914152,14.512514879004032,13.79985556136884,0.05638713426719347,5.001212466263888,5.372693265245186,-0.37148079898129804
post1950,WY1950–2019,9unimp,CalaverasRiver,vic,inflow_sum,831,0.6244051236822157,0.8125393637360129,30.1066701041777,0.9517984271272852,17.954532550083176,13.79985556136884,0.05514747600329526,5.269961548648041,5.372693265245186,-0.10273171659714464
post1950,WY1950–2019,9unimp,ChowchillaRiver,9unimp,inflow_sum,831,0.9322129592671451,0.9064168123459377,-2.176683380419746,0.9521171764481273,5.819675076257556,5.949169663598068,0.0393706462194536,5.180727286607213,5.448351188893542,-0.2676239022863296
post1950,WY1950–2019,9unimp,ChowchillaRiver,vic,inflow_sum,831,0.5360260945105574,0.8020744740371417,42.184817303979564,0.9442422732610021,8.458816017290689,5.949169663598068,0.05602825742907872,5.281199758042458,5.448351188893542,-0.1671514308510842
