basin,model,dp,dt,annual,freshet,maxmon,minmon,pct_annual,pct_freshet,pct_maxmon,pct_minmon
YRS,Physics (noah),-0.15,0.0,1644.4794,678.1958,267.2403,31.2049,-23.9185,-23.2004,-21.2476,-23.8224
FOL,Physics (noah),-0.15,0.0,1812.7702,746.6299,323.3475,27.2163,-26.8124,-26.2739,-25.0052,-26.6668
MKM,Physics (noah),-0.15,0.0,512.878,277.1826,98.5826,7.884,-27.2531,-25.8682,-21.9947,-29.4056
NHG,Physics (noah),-0.15,0.0,98.7083,32.106,21.934,1.0407,-33.3424,-32.8448,-33.8369,-31.9142
NML,Physics (noah),-0.15,0.0,778.941,483.2001,174.0799,12.9913,-27.0455,-25.6769,-21.5392,-24.5428
TLG,Physics (noah),-0.15,0.0,1162.2774,762.3985,264.0575,12.3643,-27.2706,-25.8025,-22.0797,-31.1619
MRC,Physics (noah),-0.15,0.0,679.9836,423.4938,159.6417,7.5534,-27.9973,-26.4522,-22.3976,-29.47
MIL,Physics (noah),-0.15,0.0,1001.0098,689.2002,231.2151,14.2189,-28.7547,-28.2148,-28.864,-28.476
PNF,Physics (noah),-0.15,0.0,864.1638,627.1074,229.837,13.9561,-28.7991,-28.1871,-28.763,-25.3201
TRM,Physics (noah),-0.15,0.0,230.7708,136.0791,49.6105,3.4489,-31.5189,-31.7518,-29.1244,-30.4836
SCC,Physics (noah),-0.15,0.0,234.4738,108.9331,40.6563,4.748,-28.0393,-27.1457,-25.5654,-26.6821
ISB,Physics (noah),-0.15,0.0,709.5786,422.9973,139.3619,14.291,-30.2232,-30.5181,-28.4255,-29.1312
SHA,Physics (noah),-0.15,0.5,3382.3154,1129.0596,582.3729,79.3808,-26.8793,-29.5255,-23.934,-27.5603
BND,Physics (noah),-0.15,0.5,4515.4312,1454.3018,828.3259,85.898,-28.3053,-30.2935,-25.8212,-28.4781
ORO,Physics (noah),-0.15,0.5,2717.2327,878.1279,535.9086,37.5136,-27.2582,-31.6103,-23.5841,-30.2826
YRS,Physics (noah),-0.15,0.5,1634.4112,632.1472,280.7714,29.6511,-24.3843,-28.415,-17.2601,-27.6156
FOL,Physics (noah),-0.15,0.5,1798.0719,698.7562,333.9453,25.2445,-27.4058,-31.0012,-22.5473,-31.9798
MKM,Physics (noah),-0.15,0.5,508.2878,260.612,95.1093,7.0307,-27.9042,-30.3,-24.7429,-37.0465
NHG,Physics (noah),-0.15,0.5,97.4241,31.5148,21.6368,1.0227,-34.2096,-34.0813,-34.7332,-33.0946
NML,Physics (noah),-0.15,0.5,771.4647,456.7844,170.4949,11.7461,-27.7457,-29.74,-23.155,-31.7753
TLG,Physics (noah),-0.15,0.5,1149.6099,727.7589,269.0219,11.2757,-28.0633,-29.1736,-20.6147,-37.223
MRC,Physics (noah),-0.15,0.5,672.8095,401.4259,156.0454,6.9449,-28.757,-30.2848,-24.1458,-35.1521
MIL,Physics (noah),-0.15,0.5,988.9307,663.5826,226.6137,12.7303,-29.6144,-30.8831,-30.2796,-35.9642
PNF,Physics (noah),-0.15,0.5,852.3507,603.6316,210.5395,13.5128,-29.7724,-30.8754,-34.7442,-27.692
TRM,Physics (noah),-0.15,0.5,227.7212,127.6919,47.6435,3.132,-32.4238,-35.9583,-31.9346,-36.8706
SCC,Physics (noah),-0.15,0.5,232.5116,103.9158,40.8361,4.5122,-28.6415,-30.5013,-25.2363,-30.3235
ISB,Physics (noah),-0.15,0.5,700.3512,400.5896,132.7654,13.3367,-31.1305,-34.1988,-31.8134,-33.8631
SHA,Physics (noah),-0.15,1.0,3355.1001,1087.2684,584.4879,76.8934,-27.4676,-32.134,-23.6578,-29.8301
BND,Physics (noah),-0.15,1.0,4474.565,1401.4325,829.1974,83.0515,-28.9541,-32.8275,-25.7431,-30.8482
ORO,Physics (noah),-0.15,1.0,2696.4351,830.5683,540.9184,35.5517,-27.815,-35.3143,-22.8698,-33.9288
YRS,Physics (noah),-0.15,1.0,1624.2271,590.9323,290.9489,28.4329,-24.8555,-33.0822,-14.2609,-30.5896
FOL,Physics (noah),-0.15,1.0,1783.2686,656.4726,341.7095,23.7279,-28.0034,-35.1765,-20.7465,-36.0661
MKM,Physics (noah),-0.15,1.0,503.9158,243.1838,89.6154,6.3164,-28.5243,-34.9611,-29.0901,-43.4425
NHG,Physics (noah),-0.15,1.0,96.154,30.9718,21.3298,1.0059,-35.0673,-35.2171,-35.6594,-34.1907
NML,Physics (noah),-0.15,1.0,764.4453,427.349,163.2727,10.4198,-28.4032,-34.2676,-26.4102,-39.4788
TLG,Physics (noah),-0.15,1.0,1137.6735,690.5516,269.6934,10.4185,-28.8102,-32.7947,-20.4166,-41.9953
MRC,Physics (noah),-0.15,1.0,665.8948,378.3308,149.9157,6.4629,-29.4891,-34.2957,-27.1255,-39.653
MIL,Physics (noah),-0.15,1.0,977.0787,635.6653,228.7349,11.4944,-30.458,-33.7908,-29.627,-42.181
PNF,Physics (noah),-0.15,1.0,841.0332,576.9036,197.4062,12.3869,-30.7049,-33.9361,-38.8148,-33.7168
TRM,Physics (noah),-0.15,1.0,224.8431,119.6425,44.7243,2.8894,-33.2779,-39.9953,-36.1051,-41.7621
SCC,Physics (noah),-0.15,1.0,230.4353,99.4357,41.9487,4.3279,-29.2787,-33.4975,-23.1992,-33.1689
ISB,Physics (noah),-0.15,1.0,691.1243,378.422,125.8891,12.4981,-32.0379,-37.8401,-35.345,-38.0218
SHA,Physics (noah),-0.15,1.5,3327.7212,1053.2513,584.2818,74.9476,-28.0595,-34.2573,-23.6847,-31.6058
BND,Physics (noah),-0.15,1.5,4433.5555,1357.8498,827.3771,80.8146,-29.6053,-34.9165,-25.9061,-32.7107
ORO,Physics (noah),-0.15,1.5,2675.1304,794.3059,542.0849,34.1185,-28.3853,-38.1384,-22.7034,-36.5922
YRS,Physics (noah),-0.15,1.5,1613.6977,556.7393,297.4898,27.4079,-25.3426,-36.9542,-12.3334,-33.0917
FOL,Physics (noah),-0.15,1.5,1768.3301,619.8591,346.9583,22.5969,-28.6066,-38.7919,-19.5291,-39.1137
MKM,Physics (noah),-0.15,1.5,499.713,225.3247,89.5282,5.7328,-29.1204,-39.7375,-29.1591,-48.6676
NHG,Physics (noah),-0.15,1.5,94.8991,30.4625,21.0293,0.9899,-35.9148,-36.2825,-36.5659,-35.2355
NML,Physics (noah),-0.15,1.5,757.7208,396.5839,153.2564,9.3142,-29.033,-38.9997,-30.9247,-45.9001
TLG,Physics (noah),-0.15,1.5,1126.3358,651.3665,265.5254,9.7593,-29.5197,-36.6082,-21.6465,-45.6654
MRC,Physics (noah),-0.15,1.5,659.2993,354.354,141.1482,6.0845,-30.1875,-38.4597,-31.3874,-43.1858
MIL,Physics (noah),-0.15,1.5,965.7073,605.3657,227.5106,10.4867,-31.2673,-36.9468,-30.0037,-47.2498
PNF,Physics (noah),-0.15,1.5,830.0057,548.0476,195.6969,11.1001,-31.6135,-37.2406,-39.3446,-40.6026
TRM,Physics (noah),-0.15,1.5,222.1832,111.2103,42.8813,2.6909,-34.0672,-44.2243,-38.7381,-45.7629
SCC,Physics (noah),-0.15,1.5,228.39,95.5318,42.8494,4.1784,-29.9064,-36.1084,-21.5503,-35.4786
